"","Price","Fuel","Engine","Horsepower","Power_Nm","Acceleration","Consumption","CO2","Autonomy_klm","Taxation","Air_condition","Clima","Back_electric_windows","Heated_mirrors"
"1",43500," Gasoline",1995,200,330,6.6,5.9,138,881,166,"NO","YES","YES","YES"
"2",46500," Gasoline",1995,200,330,6.6,5.9,138,881,166,"NO","YES","YES","YES"
"3",56000," Gasoline",1995,280,400,5.2,6.4,148,812,274,"NO","YES","YES","YES"
"4",48000," Diesel",2143,190,380,7.2,4.2,109,1238,107,"NO","YES","YES","YES"
"5",57500," Diesel",2143,510,470,6.8,4.7,122,1106,146,"NO","YES","YES","YES"
"6",17450," Gasoline",1368,120,206,9.4,6.4,149,938,276,"NO","YES","YES","YES"
"7",18950," Gasoline",1368,120,206,9.4,6.4,149,938,276,"NO","YES","YES","YES"
"8",20450," Gasoline",1368,120,206,9.4,6.4,149,938,276,"NO","YES","YES","YES"
"9",19250," Diesel",1598,120,320,10,3.8,99,1579,89,"NO","YES","YES","YES"
"10",21250," Diesel",1598,120,320,10,3.8,99,1579,89,"NO","YES","YES","YES"
"11",26900," Diesel",1956,170,350,7.9,4.5,119,1333,117,"NO","YES","YES","YES"
"12",57000," Gasoline",1995,200,330,7.2,7,161,914,394,"NO","YES","YES","YES"
"13",60000," Gasoline",1995,200,330,7.2,7,161,914,394,"NO","YES","YES","YES"
"14",69000," Gasoline",1995,280,400,5.7,7,161,914,394,"NO","YES","YES","YES"
"17",67000," Diesel",2143,210,470,6.6,5.5,127,1164,152,"NO","YES","YES","YES"
"19",25410," Gasoline",1498,150,250,8.2,6.2,120,645,118,"NO","YES","YES","YES"
"20",27490," Gasoline",1498,150,250,8.2,6.4,120,625,118,"NO","YES","YES","YES"
"21",19950," Gasoline",999,95,175,10.8,4.6,104,870,102,"YES","NO","YES","YES"
"22",22200," Gasoline",999,116,200,9.5,4.8,108,833,106,"YES","NO","YES","YES"
"24",26680," Gasoline",1498,150,250,7.7,5,115,800,113,"YES","NO","YES","YES"
"25",33230," Gasoline",1984,200,320,6.5,6,136,667,163,"NO","YES","YES","YES"
"26",31820," Gasoline",1395,115,200,10.6,5.3,122,943,146,"YES","NO","YES","YES"
"27",35650," Gasoline",1498,150,250,8.9,5.2,118,962,116,"YES","NO","YES","YES"
"28",24250," Gasoline",999,115,200,9.9,4.4,105,1136,103,"YES","NO","YES","YES"
"29",26540," Gasoline",999,115,200,9.9,4.4,105,1136,103,"YES","NO","YES","YES"
"30",27860," Gasoline",1498,150,250,8.2,5,115,1000,113,"YES","NO","YES","YES"
"31",22430," Diesel",1598,110,250,10.7,3.8,99,1316,89,"NO","YES","YES","YES"
"44",22400," Gasoline",999,115,200,9.9,4.5,104,1111,102,"YES","NO","YES","YES"
"45",25090," Gasoline",999,115,200,9.9,4.5,104,1111,102,"YES","NO","YES","YES"
"51",27900," Diesel",1598,110,250,10.9,3.8,99,1316,89,"NO","YES","YES","YES"
"53",31940," Diesel",1598,110,250,10.9,3.8,102,1316,100,"NO","YES","YES","YES"
"54",34850," Gasoline",1395,150,250,8.7,5.2,123,1038,148,"NO","YES","YES","YES"
"55",36820," Gasoline",1395,150,250,8.5,5.1,119,1059,117,"NO","YES","YES","YES"
"56",43090," Diesel",1968,150,320,8.9,3.8,99,1421,89,"NO","YES","YES","YES"
"57",46200," Diesel",1968,150,320,8.7,4.1,104,1317,102,"NO","YES","YES","YES"
"58",46310," Diesel",1968,190,400,7.7,4.3,111,1256,109,"NO","YES","YES","YES"
"59",48970," Diesel",1968,190,400,7.7,4.1,107,1317,105,"NO","YES","YES","YES"
"60",51830," Diesel",1968,190,400,7.2,4.4,114,1227,112,"NO","YES","YES","YES"
"61",36700," Diesel",1984,122,320,10.5,3.7,98,1459,88,"NO","YES","YES","YES"
"62",51680," Diesel",1968,190,400,7.8,4.9,128,1184,154,"NO","YES","YES","YES"
"63",58600," Gasoline",1984,252,370,6.1,6.4,148,906,274,"NO","YES","YES","YES"
"64",46610," Gasoline",1395,150,250,8.7,5.5,125,982,150,"NO","YES","YES","YES"
"65",44130," Gasoline",1984,190,320,7.2,5.9,130,915,156,"NO","YES","YES","YES"
"66",56860," Gasoline",1984,252,370,5.8,6.3,141,857,261,"NO","YES","YES","YES"
"67",87610," Diesel Mild-Hybird",2967,286,620,5.7,5.5,147,1145,272,"NO","YES","YES","YES"
